Fecha,Hora,v4 (Voltaje) [V],m8 (10 cm) [mm],m8 (20 cm) [mm],m8 (40 cm) [mm],m8 (60 cm) [mm],m8 (80 cm) [mm],m8 (100 cm) [mm],t7 (60 cm) [C],tz (T Amb superficie) [C],v7 (Voltaje) [V]
2020-08-03,19:57:10,6.37,56.43,62.11,65.06,65.74,42.16,45.37,12.0,12.12,
2020-08-03,23:57:20,6.34,56.29,62.03,65.08,65.74,42.16,45.35,12.0,11.62,
2020-08-04,00:07:21,6.34,56.27,62.02,65.08,65.74,42.16,45.35,12.0,11.62,
2020-08-04,05:37:37,6.3,56.11,61.92,65.11,65.75,42.15,45.33,12.06,11.06,
2020-08-04,11:17:54,6.63,56.03,61.83,65.11,65.78,42.16,45.33,12.06,11.37,
2020-08-04,18:18:14,6.49,56.38,62.01,65.01,65.79,42.15,45.29,12.06,13.43,
2020-08-04,23:58:30,6.33,55.98,61.86,65.06,65.79,42.14,45.28,12.12,11.62,
2020-08-05,00:08:30,6.33,55.98,61.85,65.06,65.8,42.15,45.29,12.12,11.62,
2020-08-05,05:58:48,6.29,55.75,61.69,65.07,65.81,42.15,45.28,12.18,10.75,
2020-08-05,11:59:05,6.58,55.76,61.6,65.05,65.85,42.17,45.26,12.25,12.5,
2020-08-05,17:59:23,6.62,56.12,61.82,64.98,65.83,42.15,45.24,12.25,14.37,
2020-08-05,23:59:41,6.32,55.77,61.75,65.01,65.83,42.15,45.22,12.25,12.12,
2020-08-06,00:09:41,6.32,55.76,61.74,65.03,65.85,42.15,45.22,12.25,12.06,
2020-08-06,05:59:59,6.28,55.4,61.53,65.05,65.86,42.14,45.2,12.37,10.62,
2020-08-06,12:00:16,6.69,55.37,61.38,65.01,65.87,42.14,45.19,12.43,11.62,
2020-08-06,17:50:33,6.61,55.53,61.47,64.99,65.89,42.15,45.18,12.37,12.62,
2020-08-06,23:50:50,6.33,55.2,61.34,64.97,65.87,42.15,45.16,12.37,10.75,
2020-08-07,00:00:51,6.33,55.19,61.34,64.97,65.87,42.14,45.16,12.37,10.68,
2020-08-07,05:51:08,6.28,54.93,61.14,64.94,65.87,42.13,45.15,12.37,9.68,
2020-08-07,11:51:26,6.62,54.91,61.0,64.91,65.87,42.14,45.14,12.37,11.31,
2020-08-07,17:51:43,6.62,55.24,61.19,64.76,65.85,42.12,45.12,12.31,13.12,
2020-08-07,23:52:01,6.33,54.83,61.07,64.76,65.81,42.1,45.09,12.25,10.5,
2020-08-08,00:02:02,6.32,54.82,61.07,64.76,65.81,42.11,45.09,12.25,10.5,
2020-08-08,05:52:19,6.28,54.57,60.87,64.76,65.81,42.1,45.07,12.25,9.75,
2020-08-08,11:52:36,6.58,54.63,60.77,64.73,65.83,42.09,45.07,12.25,12.0,
2020-08-08,17:52:55,6.62,55.09,61.06,64.58,65.8,42.06,45.02,12.18,14.06,
2020-08-08,23:53:12,6.32,54.66,60.95,64.62,65.78,42.05,45.0,12.18,11.56,
2020-08-09,00:03:12,6.32,54.65,60.93,64.62,65.78,42.05,45.0,12.18,11.56,
2020-08-09,05:53:30,6.28,54.44,60.79,64.64,65.79,42.04,44.98,12.25,11.06,
2020-08-09,11:53:47,6.69,54.39,60.69,64.61,65.81,42.04,44.97,12.31,11.62,
2020-08-09,17:54:05,6.67,54.53,60.75,64.6,65.81,42.04,44.95,12.31,12.62,
2020-08-09,23:54:23,6.33,54.19,60.65,64.62,65.8,42.04,44.94,12.31,10.68,
2020-08-10,00:04:23,6.33,54.19,60.65,64.62,65.8,42.03,44.94,12.31,10.68,
2020-08-10,05:54:40,6.27,53.92,60.48,64.6,65.8,42.03,44.93,12.31,9.43,
2020-08-10,11:54:58,6.63,53.91,60.34,64.56,65.8,42.03,44.92,12.31,11.0,
2020-08-10,17:55:16,6.62,54.44,60.62,64.44,65.78,42.0,44.89,12.18,14.12,
2020-08-10,23:55:33,6.32,53.9,60.5,64.44,65.73,41.99,44.86,12.18,10.31,
2020-08-11,00:05:34,6.32,53.88,60.49,64.46,65.74,41.98,44.86,12.18,10.25,
2020-08-11,05:55:50,6.27,53.45,60.18,64.44,65.73,41.97,44.85,12.25,8.25,
2020-08-11,11:56:08,6.64,53.35,59.92,64.37,65.74,41.97,44.83,12.18,9.68,
2020-08-11,17:56:25,6.65,53.79,60.15,64.19,65.71,41.96,44.8,12.12,12.06,
2020-08-11,23:56:42,6.32,53.33,59.99,64.17,65.64,41.93,44.77,12.0,9.06,
2020-08-12,00:06:43,6.32,53.31,59.99,64.18,65.64,41.93,44.77,12.0,9.0,
2020-08-12,05:56:59,6.27,52.95,59.71,64.15,65.62,41.91,44.74,12.0,7.56,
2020-08-12,11:57:16,6.65,52.97,59.54,64.07,65.61,41.9,44.73,11.93,9.62,
2020-08-12,17:57:34,6.68,53.42,59.85,63.84,65.64,41.86,44.72,11.81,10.87,
2020-08-12,23:57:04,6.32,54.13,59.6,63.75,65.57,41.82,44.67,11.68,8.25,
2020-08-13,00:07:04,6.32,54.14,59.6,63.75,65.56,41.82,44.67,11.68,8.18,
2020-08-13,05:57:20,6.27,54.36,59.36,63.71,65.51,41.79,44.63,11.62,6.87,
2020-08-13,11:57:37,6.65,54.81,59.23,63.62,65.49,41.78,44.61,11.56,8.56,
2020-08-13,17:57:55,6.66,55.64,59.53,63.48,65.44,41.76,44.57,11.37,11.06,
2020-08-13,23:58:12,6.32,55.65,59.55,63.49,65.37,41.71,44.55,11.31,9.0,
2020-08-14,00:08:13,6.32,55.66,59.55,63.49,65.37,41.71,44.54,11.31,9.06,
2020-08-14,05:58:30,6.29,55.83,59.53,63.5,65.36,41.69,44.51,11.31,9.18,
2020-08-14,11:58:48,6.63,56.04,59.57,63.51,65.37,41.68,44.49,11.25,10.12,
2020-08-14,17:59:05,6.65,56.43,59.79,63.46,65.35,41.66,44.46,11.25,11.68,
2020-08-14,23:59:22,6.32,56.22,59.75,63.5,65.33,41.64,44.43,11.25,9.81,
2020-08-15,00:09:23,6.32,56.22,59.75,63.5,65.33,41.65,44.43,11.25,9.81,
2020-08-15,05:59:40,6.27,56.03,59.65,63.51,65.33,41.63,44.41,11.31,8.25,
2020-08-15,11:59:56,6.63,56.09,59.58,63.49,65.35,41.64,44.4,11.31,9.93,
2020-08-15,17:50:13,6.63,56.57,59.89,63.41,65.33,41.62,44.38,11.25,12.25,
2020-08-15,23:50:31,6.32,56.16,59.84,63.48,65.31,41.6,44.35,11.25,9.12,
2020-08-16,00:00:31,6.32,56.15,59.83,63.47,65.31,41.6,44.35,11.31,9.12,
2020-08-16,05:50:48,6.27,55.85,59.63,63.48,65.31,41.59,44.33,11.31,7.68,
2020-08-16,11:51:05,6.64,55.84,59.51,63.43,65.33,41.59,44.31,11.31,9.25,
2020-08-16,17:51:22,6.65,56.26,59.8,63.33,65.31,41.58,44.29,11.25,11.43,
2020-08-16,23:51:40,6.32,55.86,59.74,63.37,65.28,41.56,44.26,11.18,8.62,
2020-08-17,00:01:40,6.32,55.84,59.74,63.37,65.28,41.55,44.27,11.18,8.56,
2020-08-17,05:51:56,6.27,55.54,59.54,63.37,65.26,41.54,44.25,11.18,7.18,
2020-08-17,11:52:14,6.65,55.53,59.43,63.32,65.26,41.53,44.24,11.18,9.0,
2020-08-17,17:52:32,6.65,55.92,59.71,63.21,65.24,41.52,44.21,11.06,11.12,
2020-08-17,23:52:49,6.32,55.55,59.66,63.25,65.19,41.5,44.18,11.06,8.56,
2020-08-18,00:02:50,6.32,55.55,59.65,63.25,65.19,41.49,44.18,11.06,8.5,
2020-08-18,05:53:06,6.28,55.36,59.52,63.24,65.19,41.48,44.16,11.06,8.31,
2020-08-18,12:03:24,6.71,55.38,59.51,63.23,65.19,41.48,44.14,11.0,9.12,
2020-08-18,17:53:39,6.7,55.44,59.6,63.21,65.18,41.46,44.12,11.0,9.75,
2020-08-18,23:53:57,6.33,55.34,59.62,63.22,65.16,41.44,44.11,10.93,9.25,
2020-08-19,00:03:58,6.33,55.34,59.63,63.22,65.16,41.44,44.11,10.93,9.25,
2020-08-19,05:54:16,6.28,55.26,59.62,63.24,65.15,41.43,44.1,10.93,9.18,
2020-08-19,11:54:34,6.62,55.3,59.64,63.27,65.17,41.43,44.08,10.93,10.56,
2020-08-19,17:54:51,6.64,55.68,59.91,63.21,65.16,41.41,44.03,10.93,12.62,
2020-08-19,23:55:09,6.32,55.19,59.83,63.3,65.15,41.39,44.0,11.0,9.31,
2020-08-20,00:05:09,6.32,55.18,59.81,63.29,65.15,41.39,44.0,11.0,9.25,
2020-08-20,05:55:26,6.27,54.84,59.61,63.31,65.17,41.38,43.98,11.12,8.06,
2020-08-20,11:55:43,6.6,54.85,59.5,63.28,65.19,41.4,43.97,11.12,10.18,
2020-08-20,17:56:01,6.64,55.36,59.87,63.18,65.18,41.38,43.93,11.12,12.62,
2020-08-20,23:56:18,6.32,54.83,59.77,63.24,65.16,41.37,43.9,11.12,9.43,
2020-08-21,00:06:19,6.32,54.83,59.76,63.23,65.15,41.37,43.9,11.12,9.43,
2020-08-21,05:56:35,6.27,54.47,59.56,63.26,65.16,41.36,43.88,11.18,8.0,
2020-08-21,11:56:53,6.61,54.43,59.41,63.21,65.18,41.37,43.87,11.25,10.0,
2020-08-21,17:57:10,6.66,54.91,59.75,63.08,65.15,41.35,43.82,11.18,12.31,
2020-08-21,23:57:28,6.32,54.46,59.67,63.14,65.12,41.34,43.81,11.18,9.81,
2020-08-22,00:07:29,6.32,54.45,59.67,63.14,65.12,41.34,43.81,11.18,9.75,
2020-08-22,05:57:45,6.27,54.06,59.47,63.14,65.12,41.33,43.79,11.18,8.18,
2020-08-22,11:58:02,6.69,54.05,59.36,63.1,65.12,41.33,43.77,11.25,9.5,
2020-08-22,17:58:20,6.52,54.25,59.5,63.06,65.12,41.33,43.77,11.18,10.5,
2020-08-22,23:58:37,6.33,54.14,59.52,63.08,65.08,41.32,43.74,11.18,10.12,
2020-08-23,00:08:38,6.33,54.14,59.52,63.07,65.08,41.32,43.75,11.18,10.12,
2020-08-23,05:58:55,6.27,54.04,59.5,63.09,65.08,41.31,43.73,11.18,9.81,
2020-08-23,11:59:13,6.63,54.13,59.54,63.12,65.11,41.31,43.71,11.18,11.37,
2020-08-23,17:59:31,6.65,54.32,59.72,63.06,65.08,41.29,43.66,11.18,12.06,
2020-08-23,23:59:49,6.33,54.09,59.65,63.09,65.07,41.28,43.64,11.25,11.06,
2020-08-24,00:09:49,6.33,54.09,59.64,63.09,65.07,41.28,43.64,11.25,11.06,
2020-08-24,04:50:02,6.3,53.93,59.59,63.13,65.08,41.28,43.61,11.31,10.56,
2020-08-24,09:30:14,6.68,53.81,59.5,63.14,65.1,41.28,43.6,11.37,10.37,
2020-08-24,19:10:45,6.38,54.22,59.86,63.03,65.08,41.26,43.53,11.43,13.12,
2020-08-24,23:50:58,6.32,53.86,59.73,63.08,65.08,41.26,43.51,11.5,11.62,
2020-08-25,00:00:58,6.32,53.85,59.72,63.08,65.08,41.26,43.51,11.56,11.62,
2020-08-25,05:51:15,6.27,53.45,59.48,63.12,65.11,41.27,43.5,11.68,9.87,
2020-08-25,11:51:33,6.69,53.44,59.32,63.08,64.53,41.28,43.48,11.75,11.56,
2020-08-25,17:51:51,6.5,53.41,59.38,63.03,64.29,41.28,43.46,11.75,11.31,
2020-08-25,23:52:09,6.32,53.16,59.23,62.98,64.07,41.28,43.45,11.75,10.18,
2020-08-26,00:02:09,6.32,53.17,59.22,62.98,64.07,41.27,43.45,11.75,10.12,
2020-08-26,05:52:27,6.27,53.03,59.05,62.91,63.95,41.27,43.44,11.75,9.31,
2020-08-26,11:52:44,6.63,53.26,58.94,62.85,63.85,41.27,43.42,11.75,11.0,
2020-08-26,17:53:02,6.65,53.74,59.16,62.72,63.73,41.27,43.39,11.68,12.25,
2020-08-26,23:53:19,6.32,53.5,59.03,62.74,63.58,41.24,43.37,11.62,9.68,
2020-08-27,00:03:20,6.32,53.5,59.02,62.74,63.57,41.24,43.37,11.62,9.62,
2020-08-27,05:53:36,6.27,53.27,58.78,62.72,63.49,41.22,43.35,11.62,8.0,
2020-08-27,11:53:54,6.62,53.44,58.62,62.64,63.42,41.23,43.33,11.62,10.43,
2020-08-27,17:54:11,6.67,53.82,58.87,62.52,63.34,41.22,43.3,11.5,11.37,
2020-08-27,23:54:29,6.32,53.6,58.79,62.52,63.21,41.2,43.28,11.43,9.68,
2020-08-28,00:04:30,6.32,53.6,58.79,62.52,63.21,41.2,43.28,11.43,9.62,
2020-08-28,05:54:48,6.28,53.53,58.7,62.51,63.14,41.18,43.25,11.43,9.37,
2020-08-28,11:55:05,6.68,53.64,58.69,62.49,63.09,41.17,43.23,11.43,10.56,
2020-08-28,17:55:23,6.7,53.83,58.86,62.44,63.03,41.16,43.21,11.37,11.25,
2020-08-28,23:55:41,6.32,53.56,58.78,62.46,62.94,41.13,43.18,11.37,9.5,
2020-08-29,00:05:42,6.32,53.56,58.77,62.47,62.95,41.13,43.18,11.37,9.5,
2020-08-29,05:55:59,6.27,53.37,58.63,62.46,62.9,41.13,43.15,11.37,8.43,
2020-08-29,11:56:16,6.61,53.46,58.55,62.41,62.88,41.12,43.13,11.37,10.87,
2020-08-29,17:56:33,6.62,54.03,58.93,62.31,62.77,41.1,43.08,11.31,13.43,
2020-08-29,23:56:51,6.32,53.59,58.89,62.37,62.68,41.07,43.05,11.31,10.25,
2020-08-30,00:06:52,6.32,53.58,58.87,62.37,62.68,41.08,43.05,11.31,10.25,
2020-08-30,05:57:09,6.27,53.26,58.66,62.39,62.66,41.07,43.02,11.37,8.75,
2020-08-30,11:57:26,6.62,53.3,58.49,62.36,62.64,41.07,43.01,11.43,11.0,
2020-08-30,17:57:43,6.63,53.82,58.86,62.25,62.57,41.05,42.95,11.37,13.0,
2020-08-30,23:58:01,6.32,53.32,58.73,62.29,62.48,41.04,42.92,11.37,9.75,
2020-08-31,00:08:01,6.32,53.31,58.72,62.29,62.48,41.04,42.92,11.43,9.75,
2020-08-31,05:58:18,6.27,53.05,58.46,62.29,62.43,41.03,42.91,11.43,9.0,
2020-08-31,11:58:36,6.68,53.38,58.48,62.13,62.5,41.02,42.92,11.5,10.68,
2020-08-31,17:58:53,6.59,59.33,58.59,62.01,62.4,41.01,42.89,11.43,11.18,
2020-08-31,23:59:10,6.33,58.97,58.63,62.04,62.32,40.99,42.86,11.43,10.43,
2020-09-01,00:09:11,6.33,58.97,58.63,62.04,62.32,40.99,42.85,11.43,10.43,
2020-09-01,05:49:28,6.27,58.89,58.65,62.04,62.28,40.98,42.83,11.43,10.06,
2020-09-01,12:19:47,6.65,58.98,58.72,62.04,62.24,40.98,42.81,11.43,11.18,
2020-09-01,18:00:04,6.7,59.05,58.92,62.01,62.21,40.97,42.79,11.43,11.0,
2020-09-01,23:50:20,6.33,58.78,58.88,62.05,62.16,40.96,42.77,11.43,10.06,
2020-09-02,00:00:21,6.33,58.77,58.88,62.05,62.16,40.96,42.77,11.43,10.06,
2020-09-02,05:50:38,6.28,58.56,58.84,62.05,62.13,40.96,42.75,11.5,9.25,
2020-09-02,11:40:56,6.62,58.52,58.79,62.02,62.12,40.96,42.74,11.5,10.75,
2020-09-02,17:51:13,6.59,58.91,59.17,61.97,62.08,40.95,42.72,11.43,13.31,
2020-09-02,23:51:31,6.32,58.45,59.19,62.07,62.03,40.93,42.69,11.43,10.18,
2020-09-03,00:01:31,6.32,58.44,59.18,62.07,62.04,40.93,42.7,11.43,10.18,
2020-09-03,05:51:48,6.27,58.11,59.02,62.1,62.02,40.93,42.67,11.5,8.87,
2020-09-03,11:52:06,6.62,58.13,58.95,62.06,62.02,40.93,42.66,11.5,11.25,
2020-09-03,17:52:23,6.6,58.52,59.35,62.0,61.99,40.93,42.64,11.43,13.5,
2020-09-03,23:52:41,6.32,58.09,59.36,62.1,61.96,40.91,42.63,11.43,10.75,
2020-09-04,00:02:42,6.32,58.08,59.35,62.1,61.95,40.91,42.63,11.5,10.68,
2020-09-04,05:52:59,6.27,57.77,59.2,62.13,61.96,40.91,42.62,11.56,9.62,
2020-09-04,11:53:17,6.68,57.76,59.14,62.11,61.95,40.91,42.61,11.62,11.18,
2020-09-04,17:53:34,6.56,57.95,59.39,62.1,61.95,40.91,42.59,11.56,12.25,
2020-09-04,23:53:51,6.32,57.59,59.33,62.16,61.91,40.91,42.57,11.56,10.43,
2020-09-05,00:03:52,6.32,57.58,59.33,62.17,61.91,40.91,42.58,11.56,10.37,
2020-09-05,05:54:09,6.27,57.28,59.16,62.17,61.9,40.91,42.56,11.62,9.43,
2020-09-05,11:54:26,6.62,57.33,59.13,62.14,61.91,40.91,42.55,11.62,11.68,
2020-09-05,17:54:44,6.59,57.65,59.45,62.09,61.89,40.91,42.52,11.56,13.81,
2020-09-05,23:55:02,6.32,57.17,59.4,62.17,61.85,40.89,42.5,11.62,10.81,
2020-09-06,01:05:02,6.32,57.16,59.39,62.18,61.85,40.9,42.5,11.62,10.75,
2020-09-06,06:45:19,6.27,56.79,59.17,62.21,61.85,40.89,42.48,11.68,9.18,
2020-09-06,12:25:36,6.61,56.71,59.01,62.18,61.87,40.9,42.48,11.75,11.37,
2020-09-06,18:05:53,6.66,57.17,59.39,62.08,61.82,40.89,42.44,11.68,13.87,
2020-09-06,23:56:10,6.32,56.74,59.36,62.16,61.78,40.88,42.42,11.68,11.5,
2020-09-07,00:06:10,6.32,56.74,59.36,62.16,61.78,40.88,42.41,11.68,11.5,
2020-09-07,05:56:28,6.29,56.46,59.23,62.21,61.77,40.88,42.4,11.75,10.81,
2020-09-07,11:56:45,6.7,56.26,59.13,62.21,61.78,40.89,42.39,11.81,10.75,
2020-09-07,17:57:03,6.58,56.61,59.32,62.16,61.78,40.88,42.35,11.87,14.37,
2020-09-07,23:57:20,6.33,56.22,59.31,62.2,61.72,40.87,42.33,11.87,11.68,
2020-09-08,00:07:21,6.33,56.21,59.31,62.2,61.72,40.88,42.33,11.87,11.68,
2020-09-08,05:57:37,6.29,55.98,59.18,62.23,61.71,40.87,42.31,11.93,11.25,
2020-09-08,11:57:54,6.69,56.7,59.2,62.12,61.8,40.86,42.33,12.0,11.68,
2020-09-08,17:58:12,6.67,63.2,59.34,62.04,61.75,40.86,42.32,12.0,12.62,
2020-09-08,23:58:29,6.33,61.79,59.56,62.07,61.71,40.84,42.29,12.06,11.06,
2020-09-09,00:08:29,6.33,61.76,59.56,62.07,61.71,40.86,42.29,12.06,11.0,
2020-09-09,05:58:47,6.28,61.22,59.71,62.06,61.68,40.86,42.27,12.06,10.06,
2020-09-09,11:59:04,6.62,61.02,59.81,62.02,61.67,40.86,42.26,12.06,11.31,
2020-09-09,17:59:23,6.54,61.46,60.37,61.98,61.63,40.86,42.24,12.0,15.0,
2020-09-09,23:59:40,6.32,60.99,60.66,62.1,61.59,40.84,42.22,12.0,12.06,
2020-09-10,00:09:41,6.32,60.98,60.65,62.1,61.59,40.84,42.22,12.0,12.0,
2020-09-10,05:59:58,6.28,60.67,60.64,62.16,61.6,40.84,42.21,12.12,11.18,
2020-09-10,12:00:16,6.65,60.54,60.64,62.16,61.62,40.84,42.19,12.18,11.81,
2020-09-10,17:50:33,6.54,61.03,61.04,62.14,61.62,40.86,42.19,12.18,15.87,
2020-09-10,23:50:50,6.32,60.55,61.2,62.25,61.61,40.84,42.18,12.18,12.5,
2020-09-11,00:00:51,6.32,60.53,61.2,62.26,61.61,40.84,42.18,12.18,12.43,
2020-09-11,05:51:08,6.28,60.18,61.05,62.32,61.63,40.86,42.17,12.31,11.37,
2020-09-11,11:51:26,6.62,60.1,60.99,62.31,61.66,40.88,42.16,12.37,12.37,
2020-09-11,17:51:44,6.54,60.52,61.33,62.28,61.67,40.88,42.16,12.37,15.93,
2020-09-11,23:52:02,6.32,59.94,61.36,62.4,61.66,40.88,42.14,12.43,11.87,
2020-09-12,00:02:02,6.32,59.93,61.34,62.4,61.66,40.89,42.15,12.43,11.81,
2020-09-12,05:52:20,6.27,59.45,61.06,62.43,61.68,40.89,42.14,12.56,10.12,
2020-09-12,11:52:37,6.64,59.25,60.82,62.36,61.7,40.9,42.13,12.56,10.93,
2020-09-12,17:52:55,6.57,59.61,61.07,62.26,61.69,40.91,42.13,12.5,14.18,
2020-09-12,23:53:12,6.32,59.18,61.08,62.33,61.64,40.9,42.12,12.43,11.18,
2020-09-13,00:03:13,6.32,59.16,61.07,62.32,61.64,40.9,42.12,12.43,11.18,
2020-09-13,05:53:30,6.28,65.31,60.91,62.22,61.69,40.88,42.13,12.43,9.68,
2020-09-13,11:53:47,6.63,63.76,61.1,62.16,61.66,40.88,42.11,12.43,10.62,
2020-09-13,17:54:05,6.57,63.77,61.81,62.1,61.61,40.87,42.1,12.31,14.56,
2020-09-13,23:54:07,6.32,62.47,62.17,62.21,61.56,40.86,42.07,12.25,11.5,
2020-09-14,00:04:08,6.32,62.44,62.17,62.22,61.57,40.86,42.07,12.25,11.43,
2020-09-14,05:54:25,6.27,61.93,62.16,62.26,61.57,40.84,42.06,12.31,10.06,
2020-09-14,11:54:43,6.65,61.76,62.16,62.24,61.58,40.84,42.05,12.31,11.37,
2020-09-14,17:55:00,6.6,61.9,62.47,62.2,61.55,40.84,42.04,12.25,13.18,
2020-09-14,23:55:18,6.33,61.43,62.53,62.26,61.53,40.84,42.03,12.18,11.31,
2020-09-15,00:05:18,6.33,61.43,62.53,62.27,61.53,40.84,42.03,12.18,11.25,
2020-09-15,05:55:35,6.29,61.18,62.5,62.3,61.54,40.83,42.02,12.25,10.93,
2020-09-15,11:55:53,6.7,61.1,62.49,62.28,61.54,40.83,42.02,12.18,11.18,
2020-09-15,17:56:11,6.69,61.16,62.57,62.28,61.52,40.82,42.0,12.18,11.75,
2020-09-15,23:56:28,6.34,61.0,62.56,62.3,61.51,40.82,42.0,12.18,10.87,
2020-09-16,00:06:28,6.34,61.0,62.57,62.3,61.51,40.82,41.99,12.18,10.93,
2020-09-16,05:56:45,6.28,60.86,62.53,62.31,61.5,40.82,41.99,12.12,10.5,
2020-09-16,11:57:03,6.62,60.82,62.5,62.31,61.5,40.82,41.98,12.12,11.68,
2020-09-16,17:57:21,6.57,61.18,62.78,62.29,61.49,40.81,41.98,12.06,14.81,
2020-09-16,23:57:38,6.33,60.77,62.83,62.4,61.48,40.8,41.97,12.06,12.25,
2020-09-17,00:07:38,6.33,60.77,62.83,62.41,61.47,40.8,41.95,12.06,12.18,
2020-09-17,05:57:55,6.28,60.49,62.71,62.47,61.51,40.8,41.96,12.18,11.31,
2020-09-17,11:58:13,6.62,60.36,62.6,62.49,61.54,40.82,41.97,12.25,12.25,
2020-09-17,17:58:31,6.56,60.78,62.9,62.47,61.55,40.83,41.96,12.25,15.62,
2020-09-17,23:58:49,6.32,60.32,62.9,62.59,61.55,40.82,41.95,12.31,12.56,
2020-09-18,00:08:50,6.32,60.31,62.88,62.6,61.55,40.83,41.95,12.31,12.5,
2020-09-18,05:59:07,6.27,59.9,62.65,62.65,61.6,40.83,41.95,12.43,11.12,
2020-09-18,11:59:25,6.6,59.81,62.48,62.64,61.63,40.84,41.96,12.5,12.81,
2020-09-18,17:49:43,6.57,60.25,62.79,62.58,61.64,40.88,41.96,12.5,15.81,
2020-09-18,23:50:01,6.32,59.68,62.71,62.69,61.64,40.88,41.96,12.56,12.12,
2020-09-19,00:00:01,6.32,59.67,62.71,62.7,61.64,40.88,41.95,12.56,12.06,
2020-09-19,05:50:19,6.28,65.62,62.55,62.6,61.73,40.86,41.99,12.62,10.75,
2020-09-19,11:50:37,6.65,64.01,63.05,62.57,61.72,40.89,41.98,12.68,12.0,
2020-09-19,17:50:54,6.6,63.64,63.55,62.52,61.7,40.89,41.98,12.62,13.93,
2020-09-19,23:51:13,6.33,62.84,63.75,62.6,61.67,40.89,41.97,12.56,12.18,
2020-09-20,00:01:13,6.33,62.83,63.75,62.61,61.68,40.88,41.98,12.56,12.18,
2020-09-20,05:51:28,6.29,62.52,63.79,62.65,61.68,40.89,41.97,12.56,11.81,
2020-09-20,11:51:45,6.7,62.32,63.81,62.67,61.68,40.89,41.98,12.62,11.87,
2020-09-20,17:52:05,6.68,62.3,63.89,62.68,61.68,40.89,41.98,12.56,12.68,
2020-09-20,23:52:21,6.34,62.12,63.93,62.72,61.67,40.89,41.98,12.56,12.12,
2020-09-21,00:02:22,6.34,62.12,63.93,62.72,61.67,40.89,41.98,12.56,12.12,
2020-09-21,05:52:37,6.28,61.95,63.92,62.75,61.67,40.89,41.99,12.56,11.75,
2020-09-21,11:52:53,6.68,61.86,63.9,62.76,61.68,40.89,41.99,12.56,12.12,
2020-09-21,17:53:10,6.62,62.08,64.08,62.77,61.68,40.89,41.99,12.56,14.31,
2020-09-21,23:53:27,6.33,61.7,64.07,62.85,61.67,40.89,41.99,12.56,12.25,
2020-09-22,00:03:27,6.33,61.69,64.06,62.85,61.67,40.89,42.0,12.56,12.25,
2020-09-22,05:53:44,6.28,61.47,63.96,62.89,61.69,40.89,42.0,12.62,11.62,
2020-09-22,11:54:01,6.64,61.39,63.9,62.9,61.71,40.91,42.01,12.62,12.68,
2020-09-22,17:54:18,6.59,61.66,64.11,62.89,61.71,40.91,42.01,12.62,15.0,
2020-09-22,23:54:36,6.33,61.17,64.05,62.98,61.71,40.91,42.02,12.68,12.0,
2020-09-23,00:04:37,6.32,61.16,64.05,62.98,61.71,40.91,42.02,12.62,11.93,
2020-09-23,05:54:54,6.29,60.89,63.84,63.01,61.74,40.93,42.02,12.75,11.5,
2020-09-23,11:55:12,6.57,60.88,63.74,62.99,61.76,40.93,42.03,12.75,13.62,
2020-09-23,17:55:30,6.57,61.2,64.03,62.96,61.76,40.95,42.03,12.75,15.81,
2020-09-23,23:55:47,6.32,60.7,63.95,63.07,61.76,40.93,42.04,12.75,12.5,
2020-09-24,00:05:48,6.32,60.69,63.94,63.08,61.76,40.95,42.03,12.75,12.43,
2020-09-24,05:56:04,6.28,60.39,63.72,63.12,61.8,40.96,42.05,12.87,11.93,
2020-09-24,11:56:21,6.7,60.22,63.57,63.09,61.81,40.97,42.07,12.87,11.87,
2020-09-24,17:56:39,6.68,60.11,63.5,63.08,61.81,40.98,42.06,12.87,12.06,
2020-09-24,23:56:55,6.34,59.96,63.41,63.06,61.8,40.99,42.06,12.87,11.68,
2020-09-25,00:06:56,6.34,59.96,63.41,63.05,61.8,40.99,42.07,12.87,11.68,
2020-09-25,05:57:13,6.28,59.8,63.31,63.03,61.8,40.99,42.08,12.81,11.31,
2020-09-25,11:57:30,6.72,64.29,63.28,62.93,61.84,40.97,42.1,12.75,11.5,
2020-09-25,17:57:47,6.7,64.14,63.49,62.92,61.8,40.97,42.09,12.68,11.93,
2020-09-25,23:58:04,6.34,63.49,63.72,62.92,61.79,40.97,42.08,12.62,11.12,
2020-09-26,00:08:05,6.34,63.48,63.72,62.92,61.78,40.97,42.09,12.62,11.12,
2020-09-26,05:58:22,6.27,63.01,63.81,62.91,61.77,40.97,42.09,12.62,10.5,
2020-09-26,11:58:40,6.61,62.87,63.87,62.9,61.75,40.97,42.09,12.56,11.81,
2020-09-26,17:58:58,6.59,62.8,64.14,62.87,61.72,40.95,42.1,12.43,13.56,
2020-09-26,23:59:15,6.32,62.16,64.16,62.95,61.7,40.93,42.1,12.43,10.75,
2020-09-27,00:09:16,6.32,62.15,64.15,62.96,61.7,40.95,42.1,12.43,10.68,
2020-09-27,05:59:32,6.28,61.67,63.93,62.98,61.71,40.93,42.11,12.5,9.06,
2020-09-27,11:59:49,6.63,61.55,63.77,62.93,61.71,40.95,42.13,12.43,10.93,
2020-09-27,17:50:06,6.57,61.97,64.08,62.85,61.69,40.93,42.14,12.31,14.43,
2020-09-27,23:50:24,6.32,61.51,64.14,62.95,61.66,40.93,42.16,12.31,11.5,
